59.23,44.07,51.27,74.48,-1.83,78.44,-4.29,65.93,4.79,43.30
-26.75,-21.79,-23.97,70.69,9.70,55.38,1.01,55.78,80.96,1.94
66.73,64.33,61.88,67.28,64.63,10.97,-24.99,16.11,44.56,17.23
79.30,17.38,39.52,8.80,23.17,32.49,-27.62,43.05,61.41,7.08
81.89,48.90,2.83,-21.98,37.03,-23.51,-13.95,60.80,47.53,56.63
68.92,58.12,51.01,25.51,68.83,18.00,14.89,42.68,-3.88,-18.93
13.14,-31.09,-17.68,-35.57,7.03,28.81,46.72,4.10,-25.52,-15.45
-26.97,27.61,35.01,36.86,29.88,21.93,30.10,79.95,-14.73,-28.98
0.82,-1.51,-23.43,25.17,75.52,-8.96,-3.54,19.05,-12.90,-1.31
6.91,57.84,-2.59,80.35,-3.44,70.47,57.35,-26.45,68.57,1.95
66.34,81.90,71.45,-0.41,12.56,64.45,35.00,1.74,-11.21,-3.11
6.92,37.31,35.86,44.82,-36.49,57.14,46.69,-14.91,70.33,74.00
54.17,-17.06,68.66,-29.28,83.52,4.27,54.67,-18.49,32.45,13.70
-22.30,3.23,-15.75,-21.39,-8.39,-31.75,40.87,75.59,-0.59,45.59
12.07,12.29,54.46,-0.88,62.49,-32.55,35.06,68.57,10.93,-0.61
-24.20,75.34,42.64,46.75,62.65,82.45,42.39,1.97,61.57,-18.38
57.90,3.67,42.82,41.38,-30.53,13.95,64.78,-13.01,24.33,-29.48
9.66,77.21,35.71,26.60,52.44,0.14,31.86,-11.08,81.18,84.42
31.34,57.64,50.77,25.05,84.29,38.01,18.06,-32.23,69.93,2.07
6.79,4.15,72.05,-13.82,-16.08,-26.37,54.77,-25.97,8.86,24.31
-21.06,57.32,5.90,62.09,26.04,42.00,11.63,-14.96,77.50,64.54
72.80,84.00,64.26,47.01,23.21,8.25,-24.14,12.35,48.76,-23.26
29.93,36.43,-21.00,2.26,-25.37,17.03,-11.93,-16.80,76.06,-0.67
57.84,70.21,-24.69,68.44,46.41,10.09,-13.84,-18.53,16.74,3.55
-1.63,78.65,29.36,41.41,-31.36,-0.24,65.44,-24.21,-33.72,25.35
75.66,48.95,-5.58,23.88,-22.51,49.24,-10.89,-36.34,5.82,-11.57
-4.80,39.60,-29.81,-25.91,-6.53,-33.70,1.66,55.02,33.24,-11.85
79.29,-9.18,-16.25,61.23,-25.82,-10.49,-32.00,3.37,64.66,59.65
49.08,79.47,16.45,27.87,-33.32,-11.89,-34.44,1.62,24.49,57.95
32.31,-9.61,75.30,-16.69,68.45,4.71,48.51,-8.56,63.54,17.95
26.99,26.49,15.13,43.64,-8.58,39.18,65.71,79.54,-8.69,31.22
35.90,-4.39,-24.22,-6.55,-33.77,22.67,27.99,-35.73,6.60,39.28
-15.98,56.99,-1.19,76.01,62.73,17.84,-6.08,55.74,-9.97,14.52
-35.80,-32.85,1.78,-19.21,11.23,-24.09,-36.09,38.01,-29.64,-20.57
57.77,49.84,33.10,59.45,19.00,-24.99,-29.89,62.18,78.55,42.29
71.12,39.06,-3.69,-28.87,5.45,74.12,0.19,-10.88,69.43,10.43
-14.62,-21.67,-19.27,52.98,20.77,17.13,63.95,9.97,78.67,36.43
-23.25,-15.80,41.65,-8.91,72.54,-17.31,33.79,39.99,-32.39,54.55
54.79,60.71,-16.51,15.88,34.79,4.39,35.59,-0.01,38.83,13.64
-30.63,-21.80,5.41,-13.12,4.23,82.80,11.22,38.84,-29.98,-20.44
23.89,31.07,49.24,4.69,-29.05,-32.26,46.21,59.00,68.92,-17.30
53.08,55.09,75.58,50.51,24.06,-4.83,-34.57,75.25,51.98,33.32
42.22,-2.61,-17.40,46.13,17.27,-28.39,37.48,66.59,70.93,35.80
76.34,22.83,30.37,12.90,81.01,41.21,48.64,-7.88,-20.60,32.03
1.02,11.63,66.86,-34.40,67.87,-36.14,79.44,-34.31,6.76,-19.18
6.66,60.55,84.70,29.63,64.81,66.89,-33.76,16.31,62.59,66.06
-14.52,-32.89,18.25,-9.61,6.27,-23.28,41.30,-14.88,63.05,18.86
-5.05,78.75,43.59,34.89,-23.22,69.85,-13.60,-11.00,5.61,-35.32
28.67,19.77,45.15,-0.18,-16.93,58.59,-29.72,57.07,39.52,63.26
0.01,-25.53,50.18,-12.26,-9.77,66.44,66.34,-25.59,73.95,34.55
3.39,80.88,68.75,-13.92,-26.66,42.29,25.97,50.56,-28.92,17.47
-27.74,6.56,-26.07,28.77,-27.22,8.17,34.91,-7.77,52.50,37.04
-33.61,-4.60,62.05,-20.08,13.40,19.50,59.24,-12.31,4.64,45.58
22.43,37.22,63.16,-1.73,-31.49,-31.32,-0.46,-36.46,35.40,-24.33
21.98,31.63,43.69,-13.83,-5.23,-7.03,19.24,13.73,48.36,37.68
34.41,64.94,61.32,41.89,50.90,59.00,-1.92,12.04,3.12,-31.07
32.23,59.75,-9.46,45.12,-18.94,-33.37,55.25,43.45,58.30,72.09
37.37,42.96,6.71,69.47,45.82,69.83,-19.53,-1.46,1.92,-17.11
-9.28,79.38,48.40,12.76,-33.93,61.46,-20.99,59.00,-32.37,13.48
24.07,31.23,13.12,-26.55,72.76,-34.25,9.87,61.68,12.43,-14.93
6.82,1.58,-23.15,73.99,51.23,34.87,15.76,-28.66,-4.42,-21.60
15.04,82.77,82.56,73.85,16.88,23.41,80.38,34.43,-22.98,47.38
-7.02,29.67,-32.48,21.20,37.27,8.35,57.70,0.02,43.53,-6.37
-0.05,72.93,78.67,44.29,-0.75,50.73,54.03,-5.95,15.17,32.40
-26.57,39.16,53.23,43.71,61.65,58.03,76.79,53.39,-3.79,66.65
68.92,57.87,-7.90,60.20,43.08,81.30,-27.39,16.96,17.52,5.79
-32.99,29.69,62.81,40.11,41.26,23.80,-13.29,74.28,72.08,47.37
